hour,year,year_month,tripduration,number_trips,gender
00,2015,2015-09,7590,8,0
00,2015,2015-09,12373,21,1
00,2015,2015-09,726,3,2
00,2015,2015-10,54012,40,0
00,2015,2015-10,63750,137,1
00,2015,2015-10,15545,37,2
00,2015,2015-11,18991,11,0
00,2015,2015-11,102719,124,1
00,2015,2015-11,14756,43,2
00,2015,2015-12,349,1,0
00,2015,2015-12,59828,85,1
00,2015,2015-12,7760,21,2
00,2016,2016-01,776,1,0
00,2016,2016-01,24722,55,1
00,2016,2016-01,6477,20,2
00,2016,2016-02,3043,2,0
00,2016,2016-02,50038,52,1
00,2016,2016-02,10619,21,2
00,2016,2016-03,17245,9,0
00,2016,2016-03,40528,87,1
00,2016,2016-03,8036,22,2
00,2016,2016-04,33777,11,0
00,2016,2016-04,93398,122,1
00,2016,2016-04,10783,26,2
00,2016,2016-05,20052,12,0
00,2016,2016-05,92958,170,1
00,2016,2016-05,22629,46,2
00,2016,2016-06,37680,18,0
00,2016,2016-06,120945,199,1
00,2016,2016-06,15880,32,2
00,2016,2016-07,53957,28,0
00,2016,2016-07,138800,201,1
00,2016,2016-07,31792,59,2
00,2016,2016-08,173995,41,0
00,2016,2016-08,218592,267,1
00,2016,2016-08,69570,54,2
00,2016,2016-09,144005,27,0
00,2016,2016-09,195398,276,1
00,2016,2016-09,20801,51,2
00,2016,2016-10,8847,11,0
00,2016,2016-10,134236,228,1
00,2016,2016-10,17751,50,2
00,2016,2016-11,11747,8,0
00,2016,2016-11,83988,153,1
00,2016,2016-11,7541,21,2
00,2016,2016-12,173748,10,0
00,2016,2016-12,160156,118,1
00,2016,2016-12,14651,25,2
00,2017,2017-01,421,1,0
00,2017,2017-01,82555,92,1
00,2017,2017-01,4199,13,2
00,2017,2017-02,1200,4,0
00,2017,2017-02,61416,111,1
00,2017,2017-02,11618,19,2
00,2017,2017-03,39875,68,1
00,2017,2017-03,35397,17,2
00,2017,2017-04,179147,23,0
00,2017,2017-04,48385,106,1
00,2017,2017-04,7639,20,2
00,2017,2017-05,7888,17,0
00,2017,2017-05,62163,148,1
00,2017,2017-05,12602,31,2
00,2017,2017-06,52019,21,0
00,2017,2017-06,91331,187,1
00,2017,2017-06,17322,39,2
00,2017,2017-07,37175,28,0
00,2017,2017-07,152762,228,1
00,2017,2017-07,21595,49,2
00,2017,2017-08,70819,15,0
00,2017,2017-08,96619,191,1
00,2017,2017-08,10422,29,2
00,2017,2017-09,9725,13,0
00,2017,2017-09,87677,196,1
00,2017,2017-09,12923,39,2
00,2017,2017-10,25233,37,0
00,2017,2017-10,108250,215,1
00,2017,2017-10,21153,52,2
00,2017,2017-11,28583,11,0
00,2017,2017-11,67742,163,1
00,2017,2017-11,8321,21,2
00,2017,2017-12,24314,13,0
00,2017,2017-12,55060,130,1
00,2017,2017-12,2495,9,2
00,2018,2018-01,364,1,0
00,2018,2018-01,41506,74,1
00,2018,2018-01,4302,15,2
00,2018,2018-02,4648,6,0
00,2018,2018-02,33557,95,1
00,2018,2018-02,4771,12,2
00,2018,2018-03,3117,9,0
00,2018,2018-03,57011,132,1
00,2018,2018-03,6836,22,2
00,2018,2018-04,7663,15,0
00,2018,2018-04,54134,132,1
00,2018,2018-04,8629,26,2
00,2018,2018-05,65676,20,0
00,2018,2018-05,86587,182,1
00,2018,2018-05,19257,47,2
00,2018,2018-06,318234,32,0
00,2018,2018-06,173191,274,1
00,2018,2018-06,19671,55,2
00,2018,2018-07,91264,40,0
00,2018,2018-07,154266,285,1
00,2018,2018-07,33470,63,2
00,2018,2018-08,121050,39,0
00,2018,2018-08,144478,245,1
00,2018,2018-08,40298,70,2
00,2018,2018-09,73374,29,0
00,2018,2018-09,109635,239,1
00,2018,2018-09,18392,39,2
00,2018,2018-10,10016,11,0
00,2018,2018-10,101982,175,1
00,2018,2018-10,15442,48,2
00,2018,2018-11,1614,4,0
00,2018,2018-11,37007,103,1
00,2018,2018-11,34467,47,2
00,2018,2018-12,7976,9,0
00,2018,2018-12,46043,127,1
00,2018,2018-12,394909,42,2
00,2019,2019-01,299,1,0
00,2019,2019-01,23696,70,1
00,2019,2019-01,6467,19,2
00,2019,2019-02,184,1,0
00,2019,2019-02,26469,79,1
00,2019,2019-02,5270,14,2
00,2019,2019-03,6539,10,0
00,2019,2019-03,41495,110,1
00,2019,2019-03,11948,28,2
00,2019,2019-04,37859,12,0
00,2019,2019-04,75912,144,1
00,2019,2019-04,18703,27,2
00,2019,2019-05,24879,28,0
00,2019,2019-05,100689,174,1
00,2019,2019-05,16050,41,2
00,2019,2019-06,33349,39,0
00,2019,2019-06,143755,232,1
00,2019,2019-06,116072,56,2
00,2019,2019-07,129046,48,0
00,2019,2019-07,657492,226,1
00,2019,2019-07,34245,63,2
00,2019,2019-08,132622,53,0
00,2019,2019-08,144786,254,1
00,2019,2019-08,55713,64,2
00,2019,2019-09,1109528,41,0
00,2019,2019-09,162836,258,1
